fr,article,en,example_fr,example_en,tags
Mettre à jour,,to update,"Nous devons mettre à jour le registre des risques chaque mois.","We need to update the risk register every month.",work
Mettre à la disposition de,,to make available to,"Le guide sera mis à la disposition des gestionnaires demain.","The guide will be made available to managers tomorrow.",work
Mettre à la poste,,to mail,"Veuillez mettre à la poste les formulaires signés aujourd’hui.","Please mail the signed forms today.",work
Mettre à pied,,to lay off,"L’entreprise a dû mettre à pied dix employés.","The company had to lay off ten employees.",work
Mettre au point,,to finalize,"Nous allons mettre au point la version finale du plan.","We will finalize the plan’s final version.",work
Mettre en application,,to put into action,"La directive sera mise en application dès avril.","The directive will be put into action starting in April.",work
Mettre en œuvre,,to implement,"Le ministère mettra en œuvre la solution au T3.","The department will implement the solution in Q3.",work
Mettre en place,,to establish; to set up,"Nous devons mettre en place un mécanisme de suivi.","We need to set up a monitoring mechanism.",work
Mettre sur pied,,to put in place; to establish,"On va mettre sur pied un comité consultatif.","We will establish an advisory committee.",work
Milieu de travail,m,workplace; job environment,"Le milieu de travail doit favoriser l’équité et l’inclusion.","The workplace must promote equity and inclusion.",work
Ministère,m,ministry; department,"Le ministère publiera les lignes directrices mises à jour.","The department will publish the updated guidelines.",work
Mise à jour,f,update,"Une mise à jour du système est prévue ce soir.","A system update is scheduled for tonight.",work
Mise à pied,f,layoff,"La mise à pied a été annoncée au personnel hier.","The layoff was announced to staff yesterday.",work
Mise au point,f,finalization; tune-up,"La mise au point du rapport est presque terminée.","The report’s finalization is nearly complete.",work
Mise en candidature,f,nomination,"La mise en candidature se fait en ligne jusqu’au 30 juin.","Nominations are submitted online until June 30.",work
Mise en service,f,implementation; commissioning,"La mise en service de la plateforme aura lieu en mai.","Commissioning of the platform will take place in May.",work
Mise sur pied,f,establishment; implementation,"La mise sur pied du groupe de travail est approuvée.","The establishment of the working group is approved.",work
Mobilier (de bureau),m,office furniture,"Le mobilier de bureau sera remplacé à l’étage 5.","The office furniture will be replaced on the 5th floor.",work
Moitié,f,half,"La moitié des répondants appuie la recommandation.","Half of respondents support the recommendation.",work
Montant,m,amount,"Le montant maximal admissible est de 5 000 $.","The maximum eligible amount is $5,000.",work
Moyen,m,means,"Nous cherchons un moyen efficace de consulter les régions.","We’re looking for an effective means to consult the regions.",work
Nomination,f,appointment,"La nomination sera annoncée après l’approbation finale.","The appointment will be announced after final approval.",work
Nommé,,nominated,"Elle a été nommée au poste de directrice intérimaire.","She was nominated to the acting director position.",work
Norme,f,standard,"Le produit doit respecter la norme WCAG 2.2.","The product must comply with the WCAG 2.2 standard.",work
Notamment,,in particular; among others,"Le plan prévoit, notamment, un volet formation.","The plan includes, in particular, a training component.",work
Nuire à,,to be harmful to; to damage,"Un déploiement précipité pourrait nuire à la qualité.","A rushed rollout could harm quality.",work
Occasion,f,opportunity,"Cette initiative représente une occasion d’amélioration.","This initiative represents an improvement opportunity.",work
Occasionner,,to cause,"Le retard pourrait occasionner des coûts supplémentaires.","The delay could cause additional costs.",work
Œuvrer,,to work; to serve,"Nous œuvrons à moderniser les services numériques.","We are working to modernize digital services.",work
Or,,however; but,"Le budget est limité; or, les besoins augmentent.","The budget is limited; however, needs are increasing.",work
Ordre du jour,m,agenda (meeting),"L’ordre du jour sera transmis avant midi.","The agenda will be sent before noon.",work
Paperasse,f,paperwork,"Réduisons la paperasse pour accélérer le traitement.","Let’s reduce paperwork to speed up processing.",work
Par ailleurs,,moreover; furthermore,"Par ailleurs, un guide d’accompagnement sera publié.","Moreover, a support guide will be published.",work
Par conséquent,,therefore; consequently,"Des tests ont échoué; par conséquent, le déploiement est reporté.","Some tests failed; therefore, the rollout is postponed.",work
Par contre,,on the other hand,"Le risque est faible; par contre, l’impact serait élevé.","The risk is low; on the other hand, the impact would be high.",work
Par intérim,,acting; interim,"Il occupe le poste de directeur, par intérim, depuis janvier.","He has served as director, on an interim basis, since January.",work
