fr,article,en,example_fr,example_en,tags
Relever un défi,,to take on a challenge,"Notre équipe est prête à relever ce défi dès ce trimestre.","Our team is ready to take on this challenge this quarter.",work
Remanier,,to reshuffle,"Le sous-ministre a décidé de remanier l’organigramme.","The deputy minister decided to reshuffle the org chart.",work
Remboursement,m,refund,"Le remboursement sera émis dans les dix jours ouvrables.","The refund will be issued within ten business days.",work
Remettre,,to submit; to hand in,"Veuillez remettre le rapport vendredi au plus tard.","Please submit the report by Friday at the latest.",work
Remplir,,to fill out,"N’oubliez pas de remplir tous les champs obligatoires.","Don’t forget to fill out all required fields.",work
Rendement,m,performance; productivity,"Le rendement du programme sera évalué annuellement.","The program’s performance will be evaluated annually.",work
Renseignement,m,information,"Pour tout renseignement supplémentaire, contactez le secrétariat.","For further information, contact the secretariat.",work
Rentabilité,f,profitability,"La rentabilité du projet sera réévaluée après le pilote.","The project’s profitability will be re-evaluated after the pilot.",work
Rentable,,profitable; cost-effective,"Cette solution est plus rentable à long terme.","This solution is more cost-effective in the long term.",work
Répertoire,m,directory,"Le répertoire des contacts a été mis à jour.","The contact directory has been updated.",work
Répondre à une exigence,,to meet a requirement,"La plateforme doit répondre à une exigence de sécurité élevée.","The platform must meet a high security requirement.",work
Reporter,,to postpone,"La séance est reportée à la semaine prochaine.","The session is postponed to next week.",work
Réseau,m,network,"Le réseau interne sera indisponible pendant la maintenance.","The internal network will be unavailable during maintenance.",work
Résoudre,,to solve; to resolve,"Nous devons résoudre cet incident avant midi.","We need to resolve this incident before noon.",work
Ressources humaines,fpl,human resources,"Les Ressources humaines finalisent l’affichage du poste.","Human Resources are finalizing the job posting.",work
Retirer une candidature,,to withdraw an application,"Le candidat a retiré sa candidature ce matin.","The candidate withdrew their application this morning.",work
Résumé,m,summary,"Voici un résumé des principaux risques.","Here is a summary of the key risks.",work
Retraite,f,retirement,"Elle partira à la retraite en décembre.","She will retire in December.",work
Rétrograder,,to demote,"L’employé a été rétrogradé après l’examen de rendement.","The employee was demoted after the performance review.",work
Réussir,,to succeed; to achieve,"Nous avons réussi à respecter l’échéancier.","We succeeded in meeting the timeline.",work
Revenu,m,income,"Le revenu annuel doit être déclaré avant le 30 avril.","Annual income must be declared before April 30.",work
Roulement du personnel,m,staff turnover,"Le roulement du personnel a diminué cette année.","Staff turnover decreased this year.",work
S'abstenir de,,to refrain (from),"Veuillez vous abstenir de partager des données sensibles.","Please refrain from sharing sensitive data.",work
S'adresser à,,to contact; to address (someone),"Pour les accès, vous devez vous adresser au centre de services.","For access, you must contact the service desk.",work
S'assurer de,,to ensure (that),"Veuillez vous assurer de sauvegarder les fichiers.","Please ensure that you back up the files.",work
S'assurer que,,to ensure that,"Le gestionnaire s’assure que les contrôles sont en place.","The manager ensures that the controls are in place.",work
Satisfaire aux exigences,,to meet requirements,"La solution proposée satisfait aux exigences techniques.","The proposed solution meets the technical requirements.",work
S'attendre à ce que,,to expect that,"Nous nous attendons à ce que les essais soient concluants.","We expect the tests to be successful.",work
S'avérer,,to turn out to be,"La mesure s’est avérée efficace.","The measure turned out to be effective.",work
Savoir gré,,to be grateful,"Je vous saurais gré d’envoyer vos commentaires d’ici vendredi.","I would be grateful if you could send your comments by Friday.",work
Séance,f,session,"La séance d’information commence à 10 h.","The information session begins at 10 a.m.",work
Se familiariser avec,,to familiarize oneself with,"Les nouveaux employés se familiarisent avec les politiques.","New employees familiarize themselves with the policies.",work
S'efforcer de,,to try hard; to strive,"Nous nous efforçons de réduire les délais de traitement.","We strive to reduce processing times.",work
S'engager à,,to commit oneself to,"Le fournisseur s’engage à respecter les normes établies.","The supplier commits to meeting the established standards.",work
Se pencher sur,,to look into; to examine,"Le comité se penchera sur les résultats de l’audit.","The committee will look into the audit results.",work
Se plaindre,,to complain,"Plusieurs usagers se sont plaints de l’accès limité.","Several users complained about the limited access.",work
Se procurer,,to obtain; to acquire,"Vous pouvez se procurer un laissez-passer au comptoir.","You can obtain a pass at the counter.",work
Se rapporter à,,to relate to,"Ces indicateurs se rapportent à la qualité du service.","These indicators relate to service quality.",work
Se rendre compte,,to realize,"Nous nous sommes rendu compte du problème trop tard.","We realized the problem too late.",work
Se servir de,,to use,"L’équipe se sert d’un tableau de bord pour le suivi.","The team uses a dashboard for tracking.",work
Se tromper,,to make a mistake,"Je me suis trompé dans le calcul des coûts.","I made a mistake in the cost calculation.",work
S'excuser,,to apologize,"Le gestionnaire s’est excusé du retard.","The manager apologized for the delay.",work
Siège social,m,head office,"Le siège social est situé à Ottawa.","The head office is located in Ottawa.",work
Signaler,,to point out; to indicate,"Merci de signaler tout incident de sécurité.","Please report any security incident.",work
S'il y a lieu,,if necessary,"S’il y a lieu, nous prolongerons le contrat.","If necessary, we will extend the contract.",work
S'inscrire,,to register,"Vous devez vous inscrire avant le 15 juin.","You must register before June 15.",work
Soit,,namely,"Trois lots sont prévus, soit A, B et C.","Three lots are planned, namely A, B, and C.",work
Soit… soit…,,either… or…,"Le déploiement aura lieu soit en mai, soit en juin.","The rollout will occur either in May or in June.",work
Solliciter,,to request,"Nous sollicitons votre avis sur la proposition.","We request your feedback on the proposal.",work
Sondage,m,survey; opinion poll,"Un sondage sera envoyé aux participants.","A survey will be sent to participants.",work
Souligner,,to emphasize; underline,"Le rapport souligne les gains d’efficacité.","The report emphasizes the efficiency gains.",work
Soumettre une demande,,to submit a request,"Veuillez soumettre une demande via le portail.","Please submit a request through the portal.",work
Souscrire à,,to subscribe to; to support,"Plusieurs ministères souscrivent à cette approche.","Several departments support this approach.",work
Sous-ministre,mf,deputy minister,"Le sous-ministre présidera la rencontre.","The deputy minister will chair the meeting.",work
Sous peu,,shortly; soon,"Les résultats seront publiés sous peu.","The results will be published shortly.",work
Soutenir,,to support,"Le secrétariat soutiendra les équipes régionales.","The secretariat will support the regional teams.",work
Soutien administratif,m,administrative support,"Le soutien administratif coordonne les convocations.","Administrative support coordinates the invitations.",work
Stage,m,internship,"Le stage commence le 1er juillet.","The internship begins on July 1.",work
Stagiaire,mf,intern; trainee,"La stagiaire participera aux ateliers.","The intern will participate in the workshops.",work
Statut,m,status,"Le statut du dossier est « approuvé ».","The file status is “approved.”",work
Subvention,f,subsidy; grant,"La subvention sera versée en deux versements.","The grant will be paid in two installments.",work
Subventionner,,to subsidize,"Le programme subventionne les initiatives locales.","The program subsidizes local initiatives.",work
Succursale,f,branch office,"La succursale de Montréal ouvrira en septembre.","The Montreal branch office will open in September.",work
Suivi,m,follow-up,"Un suivi sera fait auprès des répondants.","A follow-up will be done with respondents.",work
Susmentionné,,above-mentioned,"Veuillez utiliser le formulaire susmentionné.","Please use the above-mentioned form.",work
Syndicat,m,union,"Le syndicat a demandé une rencontre de médiation.","The union requested a mediation meeting.",work
Table des matières,f,table of contents,"La table des matières a été mise à jour.","The table of contents has been updated.",work
Tâche,f,task; duty,"Chaque tâche est assignée dans le plan de projet.","Each task is assigned in the project plan.",work
Taux,m,rate,"Le taux horaire sera ajusté en avril.","The hourly rate will be adjusted in April.",work
Tel que,,such as,"Veuillez joindre les pièces, tel que indiqué à l’annexe A.","Please attach the documents, such as indicated in Appendix A.",work
Télécharger,,to download,"Vous pouvez télécharger la version PDF du guide.","You can download the PDF version of the guide.",work
Télécopieur,m,fax machine,"Le télécopieur du 4e étage est hors service.","The fax machine on the 4th floor is out of service.",work
Tenir à,,to insist on,"Je tiens à remercier l’équipe pour son travail.","I insist on thanking the team for its work.",work
Tenir à ce que,,to insist that,"Le comité tient à ce que les délais soient respectés.","The committee insists that the deadlines be met.",work
Tenir au courant,,to keep informed,"Nous vous tiendrons au courant des progrès.","We will keep you informed of progress.",work
Tiers,m,third party,"Tout accès par un tiers doit être approuvé.","Any third-party access must be approved.",work
Tirage,m,print run,"Le tirage du rapport sera de 500 exemplaires.","The report’s print run will be 500 copies.",work
Titulaire,mf,holder,"La titulaire du poste gère le budget annuel.","The position holder manages the annual budget.",work
Toutefois,,however,"Le risque est faible; toutefois, le suivi doit continuer.","The risk is low; however, monitoring must continue.",work
Traiter,,to process; to handle,"Le centre traitera les demandes sous 48 heures.","The center will process requests within 48 hours.",work
Traiter de,,to deal with; to address,"Le chapitre 3 traite de la gouvernance.","Chapter 3 deals with governance.",work
Travailleur autonome,m,self-employed worker,"Le travailleur autonome doit fournir ses relevés.","The self-employed worker must provide their statements.",work
Travailleuse autonome,f,self-employed worker,"La travailleuse autonome paie ses cotisations trimestrielles.","The self-employed worker pays her quarterly contributions.",work
Trier,,to sort,"Veuillez trier les dossiers par date.","Please sort the files by date.",work
Trop-perçu,m,overpayment,"Un trop-perçu sera récupéré sur le prochain versement.","An overpayment will be recovered from the next payment.",work
Trousse,f,kit; package,"La trousse d’accueil est disponible en ligne.","The welcome kit is available online.",work
Usager,m,user (service),"L’usager peut soumettre une demande via le portail.","The service user can submit a request via the portal.",work
Usagère,f,user (service),"L’usagère a signalé un problème d’accès.","The (female) service user reported an access issue.",work
Utilisateur,m,user (machine),"L’utilisateur doit verrouiller sa session.","The user must lock their session.",work
Utilisatrice,f,user (machine),"L’utilisatrice a mis à jour le logiciel.","The (female) user updated the software.",work
Veiller à,,to ensure; to see to,"Veuillez veiller à la conformité des livrables.","Please ensure the deliverables are compliant.",work
Veiller à ce que,,to ensure that,"Nous veillerons à ce que le plan soit respecté.","We will ensure that the plan is followed.",work
Versement,m,payment; contribution,"Le versement final aura lieu en juin.","The final payment will take place in June.",work
Verser une contribution,,to make a contribution,"L’organisme versera une contribution de 10 000 $.","The organization will make a contribution of $10,000.",work
Veuillez,,please,"Veuillez compléter le formulaire avant vendredi.","Please complete the form before Friday.",work
Vignette de stationnement,f,parking sticker,"Une vignette de stationnement est requise pour l’accès.","A parking sticker is required for access.",work
Viser à,,to aim to,"Le projet vise à améliorer l’expérience usager.","The project aims to improve the user experience.",work
Voir à,,to ensure; to see to,"Le gestionnaire verra à la révision du plan.","The manager will see to the plan’s revision.",work
Voire,,even,"La demande a doublé, voire triplé au printemps.","Demand doubled, even tripled, in the spring.",work
Vue d'ensemble,f,overview,"Voici une vue d’ensemble du programme.","Here is an overview of the program.",work
Retenue,f,deduction,"Une retenue sera appliquée sur le prochain salaire.","A deduction will be applied to the next pay.",work
