fr,article,en,example_fr,example_en,tags
En matière de,,regarding; concerning,"En matière de cybersécurité, nous suivons les normes du gouvernement.","Regarding cybersecurity, we follow government standards.",work
En même temps,,at the same time,"Nous devons livrer rapidement tout en assurant la qualité en même temps.","We must deliver quickly while ensuring quality at the same time.",work
En outre,,besides; furthermore,"En outre, un rapport trimestriel sera publié.","Furthermore, a quarterly report will be published.",work
En premier lieu,,first; firstly,"En premier lieu, nous confirmerons le budget.","First, we will confirm the budget.",work
En profondeur,,in depth,"Le comité analysera les résultats en profondeur.","The committee will analyze the results in depth.",work
Enquête,f,inquiry; investigation,"Une enquête interne a été lancée sur l’incident.","An internal investigation was launched into the incident.",work
En raison de,,due to; because of,"L’événement est reporté en raison de la tempête.","The event is postponed due to the storm.",work
En second lieu,,secondly,"En second lieu, nous validerons le calendrier.","Second, we will validate the timeline.",work
Ensemble,m,all,"L’ensemble des mesures sera présenté au Conseil.","All of the measures will be presented to the Council.",work
En tant que,,as,"En tant que gestionnaire, vous approuverez les dépenses.","As a manager, you will approve the expenses.",work
Entente,f,agreement,"Une entente a été conclue avec la province.","An agreement was reached with the province.",work
En tout temps,,at any time,"Le portail demeure accessible en tout temps.","The portal remains accessible at any time.",work
Entre autres,,among other things,"Le plan prévoit, entre autres, des embauches ciblées.","The plan provides, among other things, targeted hiring.",work
Entreprendre,,to undertake,"Nous allons entreprendre une révision complète des politiques.","We will undertake a full review of the policies.",work
Entrer en vigueur,,to come into effect,"La politique entrera en vigueur le 1er avril.","The policy will come into effect on April 1.",work
Entre-temps,,meanwhile,"Entre-temps, utilisez la version précédente du formulaire.","Meanwhile, use the previous version of the form.",work
Entretien,m,interview; discussion,"L’entretien aura lieu jeudi matin.","The interview will take place Thursday morning.",work
Entrevue,f,interview,"L’entrevue durera environ 45 minutes.","The interview will last about 45 minutes.",work
En vertu de,,in accordance with; under (the law),"En vertu de la Loi, nous devons publier ces données.","Under the Act, we must publish these data.",work
En vue de,,with a view to,"En vue d’accélérer le projet, nous ajusterons l’échéancier.","With a view to speeding up the project, we will adjust the schedule.",work
Équité,f,equity; fairness,"L’équité salariale demeure une priorité organisationnelle.","Pay equity remains an organizational priority.",work
Estimer que,,to estimate; to consider that,"Nous estimons que le budget sera suffisant.","We estimate that the budget will be sufficient.",work
Étant donné que,,given that; since,"Étant donné que le risque est faible, nous irons de l’avant.","Given that the risk is low, we will proceed.",work
